Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
China,2020,Total,Male,18,Census - de jure - complete tabulation,"Final figure, complete",2024,7560195,"1,2"
China,2020,Total,Male,19,Census - de jure - complete tabulation,"Final figure, complete",2024,7670204,"1,2"
China,2020,Total,Male,20,Census - de jure - complete tabulation,"Final figure, complete",2024,7742857,"1,2"
China,2020,Total,Male,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",2024,39675995,"1,2"
China,2020,Total,Male,21,Census - de jure - complete tabulation,"Final figure, complete",2024,7389412,"1,2"
China,2020,Total,Male,22,Census - de jure - complete tabulation,"Final figure, complete",2024,8078183,"1,2"
China,2020,Total,Male,23,Census - de jure - complete tabulation,"Final figure, complete",2024,8103460,"1,2"
China,2020,Total,Male,24,Census - de jure - complete tabulation,"Final figure, complete",2024,8362083,"1,2"
China,2020,Total,Male,25,Census - de jure - complete tabulation,"Final figure, complete",2024,9042474,"1,2"
China,2020,Total,Male,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",2024,48162270,"1,2"
China,2020,Total,Male,26,Census - de jure - complete tabulation,"Final figure, complete",2024,8845171,"1,2"
China,2020,Total,Male,27,Census - de jure - complete tabulation,"Final figure, complete",2024,9588428,"1,2"
China,2020,Total,Male,28,Census - de jure - complete tabulation,"Final figure, complete",2024,9975395,"1,2"
China,2020,Total,Male,29,Census - de jure - complete tabulation,"Final figure, complete",2024,10710802,"1,2"
China,2020,Total,Male,30,Census - de jure - complete tabulation,"Final figure, complete",2024,13463923,"1,2"
China,2020,Total,Male,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",2024,63871808,"1,2"
China,2020,Total,Male,31,Census - de jure - complete tabulation,"Final figure, complete",2024,13094627,"1,2"
China,2020,Total,Male,32,Census - de jure - complete tabulation,"Final figure, complete",2024,12335076,"1,2"
China,2020,Total,Male,33,Census - de jure - complete tabulation,"Final figure, complete",2024,13315974,"1,2"
China,2020,Total,Male,34,Census - de jure - complete tabulation,"Final figure, complete",2024,11662208,"1,2"
China,2020,Total,Male,35,Census - de jure - complete tabulation,"Final figure, complete",2024,10077433,"1,2"
China,2020,Total,Male,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",2024,50932037,"1,2"
China,2020,Total,Male,36,Census - de jure - complete tabulation,"Final figure, complete",2024,10034259,"1,2"
China,2020,Total,Male,37,Census - de jure - complete tabulation,"Final figure, complete",2024,9815714,"1,2"
China,2020,Total,Male,38,Census - de jure - complete tabulation,"Final figure, complete",2024,11217120,"1,2"
China,2020,Total,Male,39,Census - de jure - complete tabulation,"Final figure, complete",2024,9787511,"1,2"
China,2020,Total,Male,40,Census - de jure - complete tabulation,"Final figure, complete",2024,8997291,"1,2"
China,2020,Total,Male,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",2024,47632694,"1,2"
China,2020,Total,Male,41,Census - de jure - complete tabulation,"Final figure, complete",2024,9934985,"1,2"
China,2020,Total,Male,42,Census - de jure - complete tabulation,"Final figure, complete",2024,9492205,"1,2"
China,2020,Total,Male,43,Census - de jure - complete tabulation,"Final figure, complete",2024,9097039,"1,2"
China,2020,Total,Male,44,Census - de jure - complete tabulation,"Final figure, complete",2024,10111174,"1,2"
China,2020,Total,Male,45,Census - de jure - complete tabulation,"Final figure, complete",2024,10335133,"1,2"
China,2020,Total,Male,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",2024,58191686,"1,2"
China,2020,Total,Male,46,Census - de jure - complete tabulation,"Final figure, complete",2024,11305313,"1,2"
China,2020,Total,Male,47,Census - de jure - complete tabulation,"Final figure, complete",2024,11844299,"1,2"
China,2020,Total,Male,48,Census - de jure - complete tabulation,"Final figure, complete",2024,12147117,"1,2"
China,2020,Total,Male,49,Census - de jure - complete tabulation,"Final figure, complete",2024,12559824,"1,2"
China,2020,Total,Male,50,Census - de jure - complete tabulation,"Final figure, complete",2024,13149971,"1,2"
China,2020,Total,Male,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",2024,61105470,"1,2"
China,2020,Total,Male,51,Census - de jure - complete tabulation,"Final figure, complete",2024,12342864,"1,2"
China,2020,Total,Male,52,Census - de jure - complete tabulation,"Final figure, complete",2024,13149508,"1,2"
China,2020,Total,Male,53,Census - de jure - complete tabulation,"Final figure, complete",2024,10539231,"1,2"
China,2020,Total,Male,54,Census - de jure - complete tabulation,"Final figure, complete",2024,11923896,"1,2"
China,2020,Total,Male,55,Census - de jure - complete tabulation,"Final figure, complete",2024,11648724,"1,2"
China,2020,Total,Male,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",2024,50816026,"1,2"
China,2020,Total,Male,56,Census - de jure - complete tabulation,"Final figure, complete",2024,11301683,"1,2"
China,2020,Total,Male,57,Census - de jure - complete tabulation,"Final figure, complete",2024,13130492,"1,2"
China,2020,Total,Male,58,Census - de jure - complete tabulation,"Final figure, complete",2024,9562232,"1,2"
China,2020,Total,Male,59,Census - de jure - complete tabulation,"Final figure, complete",2024,5172895,"1,2"
China,2020,Total,Male,60,Census - de jure - complete tabulation,"Final figure, complete",2024,6442344,"1,2"
China,2020,Total,Male,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",2024,36871125,"1,2"
China,2020,Total,Male,61,Census - de jure - complete tabulation,"Final figure, complete",2024,6148108,"1,2"
China,2020,Total,Male,62,Census - de jure - complete tabulation,"Final figure, complete",2024,7832019,"1,2"
China,2020,Total,Male,63,Census - de jure - complete tabulation,"Final figure, complete",2024,8678055,"1,2"
China,2020,Total,Male,64,Census - de jure - complete tabulation,"Final figure, complete",2024,7770599,"1,2"
China,2020,Total,Male,65,Census - de jure - complete tabulation,"Final figure, complete",2024,8101750,"1,2"
China,2020,Total,Male,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",2024,36337923,"1,2"
China,2020,Total,Male,66,Census - de jure - complete tabulation,"Final figure, complete",2024,8003803,"1,2"
China,2020,Total,Male,67,Census - de jure - complete tabulation,"Final figure, complete",2024,7147712,"1,2"
China,2020,Total,Male,68,Census - de jure - complete tabulation,"Final figure, complete",2024,7115265,"1,2"
China,2020,Total,Male,69,Census - de jure - complete tabulation,"Final figure, complete",2024,5969393,"1,2"
China,2020,Total,Male,70,Census - de jure - complete tabulation,"Final figure, complete",2024,5667080,"1,2"
China,2020,Total,Male,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",2024,24162733,"1,2"
China,2020,Total,Male,71,Census - de jure - complete tabulation,"Final figure, complete",2024,5539299,"1,2"
China,2020,Total,Male,72,Census - de jure - complete tabulation,"Final figure, complete",2024,4640378,"1,2"
China,2020,Total,Male,73,Census - de jure - complete tabulation,"Final figure, complete",2024,4399581,"1,2"
China,2020,Total,Male,74,Census - de jure - complete tabulation,"Final figure, complete",2024,3916395,"1,2"
China,2020,Total,Male,75,Census - de jure - complete tabulation,"Final figure, complete",2024,3414021,"1,2"
China,2020,Total,Male,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",2024,14752433,"1,2"
China,2020,Total,Male,76,Census - de jure - complete tabulation,"Final figure, complete",2024,3265307,"1,2"
China,2020,Total,Male,77,Census - de jure - complete tabulation,"Final figure, complete",2024,2835339,"1,2"
China,2020,Total,Male,78,Census - de jure - complete tabulation,"Final figure, complete",2024,2657484,"1,2"
China,2020,Total,Male,79,Census - de jure - complete tabulation,"Final figure, complete",2024,2580282,"1,2"
China,2020,Total,Male,80,Census - de jure - complete tabulation,"Final figure, complete",2024,2271741,"1,2"
China,2020,Total,Male,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",2024,9157003,"1,2"
China,2020,Total,Male,81,Census - de jure - complete tabulation,"Final figure, complete",2024,1869035,"1,2"
China,2020,Total,Male,82,Census - de jure - complete tabulation,"Final figure, complete",2024,1914824,"1,2"
China,2020,Total,Male,83,Census - de jure - complete tabulation,"Final figure, complete",2024,1645840,"1,2"
China,2020,Total,Male,84,Census - de jure - complete tabulation,"Final figure, complete",2024,1455563,"1,2"
China,2020,Total,Male,85,Census - de jure - complete tabulation,"Final figure, complete",2024,1213783,"1,2"
China,2020,Total,Male,85 - 89,Census - de jure - complete tabulation,"Final figure, complete",2024,4426091,"1,2"
China,2020,Total,Male,86,Census - de jure - complete tabulation,"Final figure, complete",2024,1034635,"1,2"
China,2020,Total,Male,87,Census - de jure - complete tabulation,"Final figure, complete",2024,935469,"1,2"
China,2020,Total,Male,88,Census - de jure - complete tabulation,"Final figure, complete",2024,687799,"1,2"
China,2020,Total,Male,89,Census - de jure - complete tabulation,"Final figure, complete",2024,554405,"1,2"
China,2020,Total,Male,90,Census - de jure - complete tabulation,"Final figure, complete",2024,476404,"1,2"
China,2020,Total,Male,90 - 94,Census - de jure - complete tabulation,"Final figure, complete",2024,1367594,"1,2"
China,2020,Total,Male,91,Census - de jure - complete tabulation,"Final figure, complete",2024,315634,"1,2"
China,2020,Total,Male,92,Census - de jure - complete tabulation,"Final figure, complete",2024,262078,"1,2"
China,2020,Total,Male,93,Census - de jure - complete tabulation,"Final figure, complete",2024,183520,"1,2"
China,2020,Total,Male,94,Census - de jure - complete tabulation,"Final figure, complete",2024,129958,"1,2"
China,2020,Total,Male,95,Census - de jure - complete tabulation,"Final figure, complete",2024,98355,"1,2"
China,2020,Total,Male,95 - 99,Census - de jure - complete tabulation,"Final figure, complete",2024,271455,"1,2"
China,2020,Total,Male,96,Census - de jure - complete tabulation,"Final figure, complete",2024,68067,"1,2"
China,2020,Total,Male,97,Census - de jure - complete tabulation,"Final figure, complete",2024,46250,"1,2"
China,2020,Total,Male,98,Census - de jure - complete tabulation,"Final figure, complete",2024,32835,"1,2"
China,2020,Total,Male,99,Census - de jure - complete tabulation,"Final figure, complete",2024,25948,"1,2"
China,2020,Total,Male,100 +,Census - de jure - complete tabulation,"Final figure, complete",2024,35129,"1,2"
China,2020,Total,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2024,688362330,"1,2"
China,2020,Total,Female,0,Census - de jure - complete tabulation,"Final figure, complete",2024,5675648,"1,2"
China,2020,Total,Female,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2024,36914557,"1,2"
China,2020,Total,Female,1,Census - de jure - complete tabulation,"Final figure, complete",2024,6823810,"1,2"
China,2020,Total,Female,2,Census - de jure - complete tabulation,"Final figure, complete",2024,7246355,"1,2"
China,2020,Total,Female,3,Census - de jure - complete tabulation,"Final figure, complete",2024,8748073,"1,2"
China,2020,Total,Female,4,Census - de jure - complete tabulation,"Final figure, complete",2024,8420671,"1,2"
China,2020,Total,Female,5,Census - de jure - complete tabulation,"Final figure, complete",2024,7781423,"1,2"
China,2020,Total,Female,5 - 9,Census - de jure - complete tabulation,"Final figure, complete",2024,42226598,"1,2"
China,2020,Total,Female,6,Census - de jure - complete tabulation,"Final figure, complete",2024,8710283,"1,2"
China,2020,Total,Female,7,Census - de jure - complete tabulation,"Final figure, complete",2024,8414176,"1,2"
China,2020,Total,Female,8,Census - de jure - complete tabulation,"Final figure, complete",2024,9036074,"1,2"
China,2020,Total,Female,9,Census - de jure - complete tabulation,"Final figure, complete",2024,8284642,"1,2"
China,2020,Total,Female,10,Census - de jure - complete tabulation,"Final figure, complete",2024,8062153,"1,2"
China,2020,Total,Female,10 - 14,Census - de jure - complete tabulation,"Final figure, complete",2024,39649204,"1,2"
China,2020,Total,Female,11,Census - de jure - complete tabulation,"Final figure, complete",2024,8233020,"1,2"
China,2020,Total,Female,12,Census - de jure - complete tabulation,"Final figure, complete",2024,8077840,"1,2"
China,2020,Total,Female,13,Census - de jure - complete tabulation,"Final figure, complete",2024,7756399,"1,2"
China,2020,Total,Female,14,Census - de jure - complete tabulation,"Final figure, complete",2024,7519792,"1,2"
China,2020,Total,Female,15,Census - de jure - complete tabulation,"Final figure, complete",2024,7097229,"1,2"
China,2020,Total,Female,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",2024,33630797,"1,2"
China,2020,Total,Female,16,Census - de jure - complete tabulation,"Final figure, complete",2024,7022248,"1,2"
China,2020,Total,Female,17,Census - de jure - complete tabulation,"Final figure, complete",2024,6329585,"1,2"
